,x1,x2,x3,x4,x5,y
0,3,3,3,3,0,0.787
1,8,30,8,8,0,0.293
2,3,6,6,6,0,1.71
3,4,4,4,12,0,0.203
4,8,7,6,5,0,0.806
5,10,20,5,5,0,4.713
6,8,6,3,3,25,0.607
7,6,24,4,4,25,9.107
8,4,10,12,4,25,9.21
9,16,12,8,4,25,1.365
10,3,10,8,8,25,4.554
11,8,3,3,3,25,0.293
12,3,6,3,3,50,2.252
13,3,8,8,3,50,9.167
14,4,8,4,8,50,0.694
15,5,2,2,2,50,0.379
16,2,2,2,3,50,0.485
17,10,15,3,3,50,3.345
18,15,6,2,3,50,0.208
19,15,6,2,3,75,0.201
20,10,4,3,3,75,0.329
21,3,8,2,2,75,4.966
22,6,6,6,4,75,1.362
23,2,3,8,6,75,1.515
24,3,3,8,8,75,0.751
