,y,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,29.5,5.0208,1.0,3.531,1.5,2.0,7,4,62,0
1,27.9,4.5429,1.0,2.275,1.175,1.0,6,3,40,0
2,25.9,4.5573,1.0,4.05,1.232,1.0,6,3,54,0
3,29.9,5.0597,1.0,4.455,1.121,1.0,6,3,42,0
4,29.9,3.891,1.0,4.455,0.988,1.0,6,3,56,0
5,30.9,5.898,1.0,5.85,1.24,1.0,7,3,51,1
6,28.9,5.6039,1.0,9.52,1.501,0.0,6,3,32,0
7,35.9,5.8282,1.0,6.435,1.225,2.0,6,3,32,0
8,31.5,5.3003,1.0,4.9883,1.552,1.0,6,3,30,0
9,31.0,6.2712,1.0,5.52,0.975,1.0,5,2,30,0
10,30.9,5.9592,1.0,6.666,1.121,2.0,6,3,32,0
11,30.0,5.05,1.0,5.0,1.02,0.0,5,2,46,1
12,36.9,8.2464,1.5,5.15,1.664,2.0,8,4,50,0
13,41.9,6.6969,1.5,6.902,1.488,1.5,7,3,22,1
14,40.5,7.7841,1.5,7.102,1.376,1.0,6,3,17,0
15,43.9,9.0384,1.0,7.8,1.5,1.5,7,3,23,0
16,37.5,5.9894,1.0,5.52,1.256,2.0,6,3,40,1
17,37.9,7.5422,1.5,5.0,1.69,1.0,6,3,22,0
18,44.5,8.7951,1.5,9.89,1.82,2.0,8,4,50,1
19,37.9,6.0831,1.5,6.7265,1.652,1.0,6,3,44,0
20,38.9,8.3607,1.5,9.15,1.777,2.0,8,4,48,1
21,36.9,8.14,1.0,8.0,1.504,2.0,7,3,3,0
22,45.8,9.1416,1.5,7.3262,1.831,1.5,8,4,31,0
23,25.9,4.9176,1.0,3.472,0.998,1.0,7,4,42,0
