,x1,x2,x3,x4,y
0,2.14,10.0,0.34,1.0,28.9
1,4.14,10.0,0.34,1.0,31.0
2,8.15,10.0,0.34,1.0,26.4
3,2.14,10.0,0.34,0.246,27.2
4,4.14,10.0,0.34,0.379,26.1
5,8.15,10.0,0.34,0.474,23.2
6,2.14,10.0,0.34,0.141,19.7
7,4.14,10.0,0.34,0.234,22.1
8,8.15,10.0,0.34,0.311,22.8
9,2.14,10.0,0.34,0.076,29.2
10,4.14,10.0,0.34,0.132,23.6
11,8.15,10.0,0.34,0.184,23.6
12,2.14,2.63,0.34,0.679,24.2
13,4.14,2.63,0.34,0.804,22.1
14,8.15,2.63,0.34,0.89,20.9
15,2.14,2.63,0.34,0.514,17.6
16,4.14,2.63,0.34,0.672,15.7
17,8.15,2.63,0.34,0.801,15.8
18,2.14,2.63,0.34,0.346,14.0
19,4.14,2.63,0.34,0.506,17.1
20,8.15,2.63,0.34,0.669,18.3
21,2.14,2.63,0.34,1.0,33.8
22,4.14,2.63,0.34,1.0,31.7
23,8.15,2.63,0.34,1.0,28.1
24,5.6,1.25,0.34,0.848,18.1
25,5.6,1.25,0.34,0.737,16.5
26,5.6,1.25,0.34,0.651,15.4
27,5.6,1.25,0.34,0.554,15.0
28,4.3,2.63,0.34,0.748,19.1
29,4.3,2.63,0.34,0.682,16.2
30,4.3,2.63,0.34,0.524,16.3
31,4.3,2.63,0.34,0.472,15.8
32,4.3,2.63,0.34,0.398,15.4
33,5.6,10.1,0.25,0.789,19.2
34,5.6,10.1,0.25,0.677,8.4
35,5.6,10.1,0.25,0.59,15.0
36,5.6,10.1,0.25,0.523,12.0
37,5.6,10.1,0.34,0.789,21.9
38,5.6,10.1,0.34,0.677,21.3
39,5.6,10.1,0.34,0.59,21.6
40,5.6,10.1,0.34,0.523,19.8
41,4.3,10.1,0.34,0.741,21.6
42,4.3,10.1,0.34,0.617,17.3
43,4.3,10.1,0.34,0.524,20.0
44,4.3,10.1,0.34,0.457,18.6
45,2.4,10.1,0.34,0.615,22.1
46,2.4,10.1,0.34,0.473,14.7
47,2.4,10.1,0.34,0.381,15.8
48,2.4,10.1,0.34,0.32,13.2
49,5.6,10.1,0.55,0.789,30.8
50,5.6,10.1,0.55,0.677,27.5
51,5.6,10.1,0.55,0.59,25.2
52,5.6,10.1,0.55,0.523,22.8
53,2.14,112.0,0.34,0.68,41.7
54,4.14,112.0,0.34,0.803,33.7
55,8.15,112.0,0.34,0.889,29.7
56,2.14,112.0,0.34,0.514,41.8
57,4.14,112.0,0.34,0.672,37.1
58,8.15,112.0,0.34,0.801,40.1
59,2.14,112.0,0.34,0.306,42.7
60,4.14,112.0,0.34,0.506,48.6
61,8.15,112.0,0.34,0.668,42.4
