,Observation,y,x1,x2,x3
0,1,0,0,4,91.5
1,2,1,0,4,84.0
2,3,0,0,4,76.5
3,4,0,0,5,69.0
4,5,0,0,5,61.5
5,6,0,0,5,80.0
6,7,1,0,6,72.5
7,8,0,0,6,65.0
8,9,0,0,6,57.5
9,10,2,0,7,50.0
10,11,1,0,7,103.0
11,12,1,0,7,95.5
12,13,1,0,8,88.0
13,14,1,0,8,80.5
14,15,2,0,8,73.0
15,16,3,1,7,116.1
16,17,1,1,7,100.6
17,18,1,1,7,85.0
18,19,1,1,10,69.4
19,20,2,1,10,53.9
20,21,0,1,10,112.3
21,22,1,1,12,96.7
22,23,1,1,12,81.1
23,24,2,1,12,65.6
24,25,5,1,8,50.0
25,26,1,1,8,120.0
26,27,1,1,8,104.4
27,28,5,1,14,88.9
28,29,5,1,14,73.7
29,30,7,1,14,57.8
