,yhat,resdev
0,0.4789,-0.9786
1,0.4789,0.6561
2,0.4789,-0.9786
3,0.6016,-1.0969
4,0.6016,-1.0969
5,0.6016,-1.0969
6,0.7558,0.2675
7,0.7558,-1.2295
8,0.7558,-1.2295
9,0.9495,0.9374
10,0.9495,-1.3781
11,0.9495,0.0513
12,1.1929,-0.1818
13,1.1929,-0.1818
14,1.1929,0.6729
15,0.9495,1.6737
16,0.9495,0.0513
17,0.9495,0.0513
18,1.8829,-0.7072
19,1.8829,0.0845
20,1.8829,-1.9406
21,2.9719,-1.3287
22,2.9719,-1.3287
23,2.9719,-0.5996
24,1.1929,2.5915
25,1.1929,-0.1818
26,1.1929,1.3853
27,4.6907,0.1413
28,4.6907,0.1413
29,4.6907,0.993
