,acid temp,acid conc,water temp,sulf conc,amt bl.,y
0,35,0.3,82,0.2,0.3,76.5
1,35,0.3,82,0.3,0.5,76.0
2,35,0.3,88,0.2,0.5,79.9
3,35,0.3,88,0.3,0.3,83.5
4,35,0.7,82,0.2,0.5,89.5
5,35,0.7,82,0.3,0.3,84.2
6,35,0.7,88,0.2,0.3,85.7
7,35,0.7,88,0.3,0.5,99.5
8,55,0.3,82,0.2,0.5,89.4
9,55,0.3,82,0.3,0.3,97.5
10,55,0.3,88,0.2,0.3,103.2
11,55,0.3,88,0.3,0.5,108.7
12,55,0.7,82,0.2,0.3,115.2
13,55,0.7,82,0.3,0.5,111.5
14,55,0.7,88,0.2,0.5,102.3
15,55,0.7,88,0.3,0.3,108.1
16,25,0.5,85,0.25,0.4,80.2
17,65,0.5,85,0.25,0.4,89.1
18,45,0.1,85,0.25,0.4,77.2
19,45,0.9,85,0.25,0.4,85.1
20,45,0.5,79,0.25,0.4,71.5
21,45,0.5,91,0.25,0.4,84.5
22,45,0.5,85,0.15,0.4,77.5
23,45,0.5,85,0.35,0.4,79.2
24,45,0.5,85,0.25,0.2,71.0
25,45,0.5,85,0.25,0.6,90.2
