,x1,x2,x3,yi1,yi2,yi3,ybar_i,si
0,-1,-1,-1,34,10,28,24.0,12.5
1,0,-1,-1,115,116,130,120.33333333333333,8.4
2,1,-1,-1,192,186,263,213.66666666666666,42.8
3,-1,0,-1,82,88,88,86.0,3.7
4,0,0,-1,44,178,188,136.66666666666666,80.4
5,1,0,-1,322,350,350,340.6666666666667,16.2
6,-1,1,-1,141,110,86,112.33333333333333,27.6
7,0,1,-1,259,251,259,256.3333333333333,4.6
8,1,1,-1,290,280,245,271.6666666666667,23.6
9,-1,-1,0,81,81,81,81.0,0.0
10,0,-1,0,90,122,93,101.66666666666667,17.7
11,1,-1,0,319,376,376,357.0,32.9
12,-1,0,0,180,180,154,171.33333333333334,15.0
13,0,0,0,372,372,372,372.0,0.0
14,1,0,0,541,568,396,501.6666666666667,92.5
15,-1,1,0,288,192,312,264.0,63.5
16,0,1,0,432,336,513,427.0,88.6
17,1,1,0,713,725,754,730.6666666666666,21.1
18,-1,-1,1,364,99,199,220.66666666666666,133.8
19,0,-1,1,232,221,266,239.66666666666666,23.5
20,1,-1,1,408,415,443,422.0,18.5
21,-1,0,1,182,233,182,199.0,29.4
22,0,0,1,507,515,434,485.3333333333333,44.6
23,1,0,1,846,535,640,673.6666666666666,158.2
24,-1,1,1,236,126,168,176.66666666666666,55.5
25,0,1,1,660,440,403,501.0,138.9
26,1,1,1,878,991,1161,1010.0,142.5
