,y,x1,x2,x3
0,0.222,7.3,0.0,0.0
1,0.395,8.7,0.0,0.3
2,0.422,8.8,0.7,1.0
3,0.437,8.1,4.0,0.2
4,0.428,9.0,0.5,1.0
5,0.467,8.7,1.5,2.8
6,0.444,9.3,2.1,1.0
7,0.378,7.6,5.1,3.4
8,0.494,10.0,0.0,0.3
9,0.456,8.4,3.7,4.1
10,0.452,9.3,3.6,2.0
11,0.112,7.7,2.8,7.1
12,0.432,9.8,4.2,2.0
13,0.101,7.3,2.5,6.8
14,0.232,8.5,2.0,6.6
15,0.306,9.5,2.5,5.0
16,0.0923,7.4,2.8,7.8
17,0.116,7.8,2.8,7.7
18,0.0764,7.7,3.0,8.0
19,0.439,10.3,1.7,4.2
20,0.0944,7.8,3.3,8.5
21,0.117,7.1,3.9,6.6
22,0.0726,7.7,4.3,9.5
23,0.0412,7.4,6.0,10.9
24,0.251,7.3,2.0,5.2
25,2e-05,7.6,7.8,20.7
